Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Computer Engineering,Computer Science and Electrical Engineering,2.77,1385,27,9,4,0,3,10,6,3.41,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.01,1361,23,2,2,10,4,7,3,3.39,Yes
Bioinformatics and Computational Biology,Information Systems,3.32,1508,27,1,3,8,6,1,8,2.59,Yes
Computer Science,Mechanical Engineering,2.74,1373,32,2,7,8,0,7,6,3.45,No
Computer Engineering,Information Systems,2.66,1550,23,1,10,1,2,0,7,3.09,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.98,1365,31,2,7,9,4,7,6,3.66,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.51,1450,20,4,8,6,5,3,0,3.85,Yes
Bioinformatics and Computational Biology,Information Systems,2.68,1452,28,7,10,1,2,4,1,3.24,Yes
Chemical Engineering,Information Systems,2.79,1266,23,2,2,6,8,1,5,3.03,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.48,1435,24,5,2,8,3,1,7,3.71,Yes
Environmental Engineering,Information Systems,3.05,1492,24,3,9,6,1,1,8,3.66,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.46,1437,25,2,6,5,4,6,2,2.54,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.55,1413,27,9,4,2,1,3,0,2.74,Yes
Computer Engineering,Information Systems,2.8,1010,21,4,5,4,2,9,3,2.76,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.38,1560,32,6,2,10,2,6,6,3.66,Yes
Computer Science,Computer Science and Electrical Engineering,3.86,1354,33,2,3,5,7,9,6,3.86,Yes
Bioinformatics and Computational Biology,Information Systems,3.73,1304,21,8,7,10,10,3,4,2.81,No
Cybersecurity Informatics,Information Systems,3.71,1583,29,10,4,3,10,10,0,3.1,No
Chemical Engineering,Information Systems,3.19,1219,25,3,7,9,4,2,6,3.16,Yes
Computer Science,Mechanical Engineering,2.81,1259,23,2,0,5,4,0,5,2.69,No
Environmental Engineering,Computer Science and Electrical Engineering,3.69,1006,29,7,7,4,3,9,1,3.4,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.1,1124,31,3,6,0,3,2,10,3.72,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.63,1466,35,1,7,3,7,3,7,3.91,Yes
Electrical Engineering,Information Systems,3.84,1426,21,4,3,1,1,3,10,3.11,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.37,1429,34,7,2,9,9,7,7,3.73,No
Electrical Engineering,Computer Science and Electrical Engineering,3.2,1186,20,5,3,5,5,9,4,2.57,No
Environmental Engineering,Information Systems,3.43,1534,27,4,0,8,1,1,7,3.84,Yes
Computer Science,Computer Science and Electrical Engineering,3.61,1038,24,2,6,9,10,3,0,3.61,No
Mechanical Engineering,Information Systems,3.77,1142,25,4,6,2,6,8,10,3.77,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),2.83,1475,21,0,1,0,8,9,0,3.11,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.81,1138,35,2,9,9,5,10,8,3.36,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.81,1183,21,1,7,4,7,10,6,2.5,Yes
Computer Science,Information Systems,3.57,1278,25,9,10,10,6,2,2,2.59,No
Chemical Engineering,Computer Science and Electrical Engineering,3.45,1074,34,1,2,6,10,1,6,2.91,Yes
Computer Science,Information Systems,2.74,1204,22,3,5,6,3,5,8,2.86,Yes
Cybersecurity Informatics,Mechanical Engineering,3.57,1323,22,2,8,8,1,7,7,3.94,Yes
Environmental Engineering,Information Systems,3.94,1060,27,0,8,2,6,8,1,3.69,Yes
Chemical Engineering,Information Systems,3.15,1156,33,2,6,10,6,10,10,3.3,Yes
Mechanical Engineering,Information Systems,3.13,1455,24,6,10,2,3,1,5,3.83,Yes
Environmental Engineering,Information Systems,2.55,1044,35,2,9,9,10,4,5,3.22,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.46,1266,25,3,2,5,5,0,9,2.63,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.48,1104,23,10,3,7,5,4,2,3.79,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.69,1495,22,6,10,1,4,3,1,3.93,No
Bioinformatics and Computational Biology,Information Systems,3.73,1220,27,2,7,9,6,1,1,3.19,Yes
Information Systems,Computer Science and Electrical Engineering,3.97,1188,23,5,8,10,5,9,9,3.62,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.44,1278,24,7,0,8,1,8,8,2.59,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.94,1349,20,2,9,7,6,10,9,3.52,Yes
Bioinformatics and Computational Biology,Information Systems,2.88,1598,33,3,2,2,8,6,0,2.93,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.57,1243,26,7,8,10,5,6,5,2.52,Yes
Information Systems,Information Systems,3.74,1031,27,5,9,10,3,9,8,2.59,Yes
Information Systems,Information Systems,3.05,1543,30,6,1,1,3,5,5,3.89,Yes
Computer Engineering,Mechanical Engineering,3.99,1274,27,2,7,9,9,10,9,3.8,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.51,1062,20,8,3,6,4,4,1,2.54,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.27,1307,35,7,7,8,8,2,6,3.22,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.7,1487,25,0,1,6,1,1,9,3.89,Yes
Computer Engineering,Information Systems,3.36,1225,26,10,6,10,2,4,3,3.25,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.81,1289,34,6,6,10,1,1,7,2.53,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.82,1308,32,0,5,6,9,10,5,3.05,Yes
Electrical Engineering,Mechanical Engineering,3.72,1238,27,7,8,6,9,0,2,3.93,Yes
Mechanical Engineering,Information Systems,2.81,1425,25,9,0,5,6,0,7,2.7,No
Computer Science,Computer Science and Electrical Engineering,3.9,1365,25,2,4,8,10,2,10,3.14,Yes
Business TechNology Administration,Information Systems,3.36,1411,25,10,8,7,9,7,7,3.66,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3,1443,35,9,7,3,1,4,6,2.62,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3,1132,20,6,9,8,3,10,1,3.61,Yes
Information Systems,Computer Science and Electrical Engineering,3.64,1004,34,5,3,10,5,10,7,3.59,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.59,1508,29,4,8,4,0,6,10,2.96,No
Bioinformatics and Computational Biology,Information Systems,3.19,1597,27,9,4,7,2,8,7,3.7,Yes
Mechanical Engineering,Information Systems,3.62,1181,34,5,7,3,2,2,3,3.45,Yes
Information Systems,Information Systems,3.55,1259,30,4,9,0,0,3,0,3.18,Yes
Electrical Engineering,Information Systems,3.76,1545,31,1,1,0,3,4,9,3.63,Yes
Computer Science,Information Systems,3.99,1516,24,6,5,8,10,5,0,2.95,Yes
Information Systems,Mechanical Engineering,3.36,1222,22,8,6,8,6,1,8,3.1,Yes
Electrical Engineering,Information Systems,3.7,1087,23,8,2,7,2,9,0,3.75,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.3,1349,20,0,4,1,6,2,3,3.65,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.99,1333,35,1,8,0,2,10,1,3.75,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.31,1450,34,10,0,10,10,8,3,2.52,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.65,1116,27,4,1,8,6,0,10,3.9,Yes
Electrical Engineering,Mechanical Engineering,2.96,1365,30,6,9,9,4,1,5,3.48,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.92,1544,31,5,6,7,9,10,1,3.18,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.69,1418,34,5,3,0,5,5,5,2.77,Yes
Information Systems,Information Systems,3.92,1457,30,5,6,5,1,8,4,3.5,Yes
Bioinformatics and Computational Biology,Information Systems,3.99,1135,34,5,5,6,1,4,3,2.75,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.77,1403,32,9,7,5,4,4,0,3.42,Yes
Business TechNology Administration,Mechanical Engineering,3.47,1090,33,1,6,2,9,4,10,3.93,Yes
Electrical Engineering,Information Systems,3.46,1198,31,0,4,4,5,0,0,2.83,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.74,1304,21,5,10,1,6,10,9,2.71,Yes
Business TechNology Administration,Mechanical Engineering,3.89,1164,24,3,6,10,7,6,0,2.72,No
Bioinformatics and Computational Biology,Information Systems,2.94,1539,23,10,2,1,7,4,3,3.83,No
Electrical Engineering,Mechanical Engineering,3.57,1081,22,7,10,9,2,7,10,3.87,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.59,1502,26,3,3,8,0,1,2,2.6,Yes
Electrical Engineering,Mechanical Engineering,3.28,1541,34,6,2,6,10,8,7,3.26,No
Bioinformatics and Computational Biology,Information Systems,2.55,1556,28,4,7,0,3,8,3,3.37,No
Electrical Engineering,Computer Science and Electrical Engineering,3.13,1164,28,2,2,1,10,3,7,3.7,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.03,1258,21,7,8,6,2,4,7,3.89,Yes
Information Systems,Computer Science and Electrical Engineering,2.68,1252,33,1,10,2,7,5,8,2.76,No
Information Systems,Computer Science and Electrical Engineering,3.44,1169,32,0,5,0,3,7,3,2.96,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.97,1157,22,8,6,1,10,2,4,3.47,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.6,1330,34,9,8,9,9,2,10,2.82,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.55,1490,20,10,6,2,3,4,4,3.06,Yes
Information Systems,Computer Science and Electrical Engineering,3.38,1264,21,1,1,7,6,6,2,3.9,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.72,1331,35,2,8,3,3,10,8,3.37,Yes
Bioinformatics and Computational Biology,Information Systems,3.9,1189,28,0,0,7,1,2,4,3.01,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.96,1173,22,3,6,2,9,2,9,3.73,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.94,1482,22,4,5,6,8,4,0,2.51,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.02,1353,22,8,2,4,0,0,0,3.27,Yes
Chemical Engineering,Information Systems,3.96,1276,34,2,8,0,1,0,8,2.55,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.17,1389,34,8,6,0,7,7,6,3.79,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.76,1348,27,2,10,1,3,8,3,3.11,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.35,1164,34,1,6,10,2,0,4,3.05,Yes
Chemical Engineering,Information Systems,2.66,1329,22,1,4,9,1,2,5,3.89,Yes
Electrical Engineering,Mechanical Engineering,3,1395,27,5,10,10,9,5,3,3.82,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.54,1131,32,7,7,6,7,10,6,3.76,Yes
Computer Science,Computer Science and Electrical Engineering,3.98,1263,20,6,4,2,0,0,0,2.94,Yes
Computer Engineering,Information Systems,3.44,1275,33,3,8,3,6,10,4,3.48,No
Mechanical Engineering,Information Systems,2.71,1226,31,9,0,2,10,6,6,3.04,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.27,1589,24,9,9,3,3,7,5,2.65,Yes
Mechanical Engineering,Information Systems,3.45,1185,20,9,3,5,9,4,2,2.69,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.75,1339,33,9,6,1,6,4,3,2.96,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.15,1480,28,7,2,1,8,6,0,2.77,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.82,1364,31,8,1,7,0,6,10,3.29,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.42,1199,24,8,7,10,5,7,3,3.84,No
Mechanical Engineering,Computer Science and Electrical Engineering,2.7,1291,21,3,4,2,0,1,1,3.01,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.54,1005,26,7,8,6,1,6,4,3.1,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.48,1203,31,10,2,1,10,10,1,3.29,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.91,1148,24,6,4,6,3,5,3,3.79,Yes
Business TechNology Administration,Mechanical Engineering,4,1059,25,0,1,0,1,0,6,3.28,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.22,1008,24,2,7,4,4,5,5,3.12,Yes
Bioinformatics and Computational Biology,Information Systems,2.98,1350,31,7,9,8,3,3,0,3.02,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.61,1447,21,10,4,5,6,7,6,3.16,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.28,1527,34,2,1,2,4,10,9,3.35,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.67,1273,33,7,10,4,5,6,0,3.94,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.67,1175,32,10,1,10,6,4,4,2.76,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.84,1270,30,5,7,9,6,2,5,2.63,Yes
Information Systems,Computer Science and Electrical Engineering,3.99,1012,34,2,7,8,0,6,8,3,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.76,1158,28,0,3,3,4,4,2,3.61,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.39,1213,35,8,10,2,6,9,3,2.85,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.38,1533,26,8,2,4,3,7,1,3.69,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.89,1170,28,2,0,3,5,3,8,3.15,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.04,1220,33,5,7,1,4,9,9,3.83,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.22,1240,22,10,8,6,5,1,5,2.97,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.21,1114,23,9,8,1,0,7,5,3.95,No
Computer Engineering,Computer Science and Electrical Engineering,2.82,1104,27,4,9,4,7,3,0,3.24,Yes
Electrical Engineering,Information Systems,3.87,1176,31,10,2,5,8,10,10,3.4,Yes
Information Systems,Computer Science and Electrical Engineering,3.77,1066,30,6,0,3,7,4,1,3.08,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.07,1479,26,6,10,0,1,1,5,3.66,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.89,1580,28,6,10,4,1,4,5,3.66,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.71,1026,32,8,1,5,9,3,10,3.41,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.19,1444,33,9,7,10,9,10,8,3.63,Yes
Computer Engineering,Information Systems,3.18,1462,26,9,9,4,2,4,7,3.7,Yes
Computer Science,Information Systems,3.11,1521,29,0,0,9,2,1,9,3.61,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.83,1484,22,9,2,9,5,2,10,3.13,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.34,1086,30,5,1,9,6,9,5,3.68,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.42,1321,28,0,5,3,2,8,2,2.99,Yes
Bioinformatics and Computational Biology,Information Systems,3.93,1024,33,2,4,4,8,6,6,3.82,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.61,1374,22,1,10,0,9,1,8,3.67,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.99,1291,32,10,3,1,4,3,8,2.96,Yes
Cybersecurity Informatics,Information Systems,2.65,1368,23,1,5,9,10,3,3,2.82,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.32,1420,25,3,0,9,1,2,7,3.35,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.73,1589,26,5,4,3,4,3,6,3.45,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.19,1069,29,0,9,0,6,7,0,2.69,Yes
Electrical Engineering,Information Systems,2.84,1056,27,0,9,0,2,1,0,3.04,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.83,1504,30,9,4,3,10,1,1,3.33,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.18,1235,22,4,5,3,7,10,6,3.42,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.58,1501,29,2,2,5,5,4,2,3.29,Yes
Mechanical Engineering,Information Systems,2.52,1107,31,9,3,4,7,2,10,3.7,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.85,1487,34,4,3,2,0,8,8,3.92,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.18,1309,27,3,10,4,9,7,0,2.58,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.65,1341,24,4,7,10,4,10,8,3.3,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.68,1531,27,8,8,1,8,3,1,2.59,Yes
Computer Engineering,Mechanical Engineering,3.09,1596,28,10,4,9,3,10,9,3.71,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.58,1028,24,1,8,9,4,7,10,2.55,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.29,1125,30,7,9,6,7,7,5,2.56,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.84,1207,23,9,6,0,8,1,5,2.86,Yes
Computer Science,Information Systems,2.53,1096,30,2,0,6,9,8,9,3.48,Yes
Cybersecurity Informatics,Information Systems,3.36,1308,32,0,4,8,8,9,3,3.15,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.27,1184,32,4,8,1,2,5,2,3.67,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.86,1217,31,10,3,5,0,10,2,3.62,Yes
Computer Engineering,Information Systems,3.99,1252,22,2,2,3,7,4,2,3.41,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.71,1460,20,7,2,10,9,7,6,3.92,No
Environmental Engineering,Computer Science and Electrical Engineering,3.18,1453,30,4,6,7,9,9,0,3,Yes
Mechanical Engineering,Information Systems,3.76,1469,21,7,5,1,8,10,1,3.49,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.41,1120,32,4,1,1,2,4,7,3.75,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.58,1039,32,4,2,3,0,8,6,2.87,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.65,1335,22,5,9,4,5,9,9,3.76,Yes
Electrical Engineering,Information Systems,3.87,1268,23,6,7,9,8,1,2,3.34,Yes
Cybersecurity Informatics,Mechanical Engineering,2.91,1005,31,7,6,0,0,9,8,3.1,Yes
Bioinformatics and Computational Biology,Information Systems,2.7,1538,32,0,2,0,5,0,10,2.81,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.18,1081,24,3,5,0,4,5,10,2.62,Yes
Mechanical Engineering,Mechanical Engineering,3.95,1090,35,5,6,1,0,6,2,3.55,Yes
Bioinformatics and Computational Biology,Information Systems,3.3,1243,26,8,7,0,5,4,9,3.71,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.33,1153,22,3,9,5,2,4,0,3.08,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.91,1410,32,0,6,1,3,1,2,3.45,Yes
Computer Science,Mechanical Engineering,3.31,1084,25,0,9,2,7,2,1,3.28,Yes
Electrical Engineering,Information Systems,3.85,1598,27,0,4,5,8,1,1,3.02,Yes
Information Systems,Mechanical Engineering,2.6,1399,20,8,3,2,1,8,6,3.63,Yes
